total usable: 4040
CAPTCHA: jswfjs.com /admin.php
CAPTCHA: kaseyforcouncil.com /admin/
CAPTCHA: kbs7979.com /admin/
CAPTCHA: kimmi.com.cn /admin.php
CAPTCHA: kingsporcelain.com /admin/
CAPTCHA: koajazzfestival.com /admin/
CAPTCHA: korakpokorak.com /admin/
CAPTCHA: kpmkompresori.com /admin/
CAPTCHA: kscsddz.com /login.php
CAPTCHA: ksfuhai.com /admin/
CAPTCHA: ksjhxs.com /login.php
CAPTCHA: l2studioarch.com /admin/
CAPTCHA: lahoradelmate.com /admin/
CAPTCHA: kwxxcy.com /login.php
CAPTCHA: landvreugd.com /admin/
CAPTCHA: lanyuqp.com /admin/
CAPTCHA: laudatur.com /admin/
CAPTCHA: lahzjc.com /admin/
CAPTCHA: laujoces.org /admin/
CAPTCHA: leepence.com /admin/
CAPTCHA: legendii.cn /admin/login.php
CAPTCHA: lenz-auto.com /admin/
CAPTCHA: letsorderit.com /admin/
CAPTCHA: lewin.cn /manage/
CAPTCHA: link.verdictsearch.com /admin/
CAPTCHA: linkmktg.verdictsearch.com /admin/
CAPTCHA: littleflowerschoolpkl.com /admin/
CAPTCHA: loja.impomac.com /admin/
CAPTCHA: loftorka.com /admin/
CAPTCHA: lovadon.cn /admin.php
CAPTCHA: lvhtebook.com /login.php
CAPTCHA: lxsensor.com /admin/
CAPTCHA: m.ahhxzj.com /admin/
CAPTCHA: lzqkj.com /admin/
CAPTCHA: m0lfh7qa.s2.myxypt.com /login.php
CAPTCHA: macauaog.org /admin/
CAPTCHA: maijin.net /admin/
CAPTCHA: maijin.com /admin/
CAPTCHA: mail.7x.com.cn /admin.php
CAPTCHA: maestrosdecorazon.com /admin/
CAPTCHA: mail.makeyourbitcoin.com /admin/
CAPTCHA: mail.lqky.cn /admin/login.php
CAPTCHA: mail.mehsoms.net /admin/
CAPTCHA: mail.oiiya.com /admin.php
CAPTCHA: mail.payacaspian.com /manage/
CAPTCHA: mail.prestigepropertymagazine.com /admin/
CAPTCHA: mail.projemakine.com /login.php
CAPTCHA: mail.obionvotes.com /login.php
CAPTCHA: mail.ytukampus.com /admin/
CAPTCHA: main.yulongcloud.com /admin/login.php
CAPTCHA: mail.spenglerindustries.com /admin/
CAPTCHA: maisteel.com /login.php
CAPTCHA: man.mailzapp.com /login.php
CAPTCHA: manikur.04563.com /admin/
CAPTCHA: manhattan.lumenchapter.com /admin.php
CAPTCHA: marmuro.com /admin/
CAPTCHA: marsxventures.com /admin/
CAPTCHA: marshbell.com /admin/
CAPTCHA: matsuzuki.com /admin/
CAPTCHA: matriusproima.com /admin/
CAPTCHA: mcivormarketing.com /admin/
CAPTCHA: mctx.org /admin.php
CAPTCHA: meabhdebrun.org /admin/
CAPTCHA: mewin.net /admin/
CAPTCHA: meridiandiscovery.com /admin/
CAPTCHA: mgjsgc.com /admin/
CAPTCHA: michelleostrove.net /admin/
CAPTCHA: midlandgems.com /manage/
CAPTCHA: mingyangshijia.cn /admin/
CAPTCHA: mindpersuasion.com /admin/
CAPTCHA: mixker.com /admin/
CAPTCHA: mischga.com /manage/
CAPTCHA: mobilepenthouse.com /admin/login.php
CAPTCHA: monicalsemployeesurvey.com /admin/login.php
CAPTCHA: monicalsfeedback.com /admin/login.php
CAPTCHA: monstersport.net /admin/
CAPTCHA: mrsangiesclassroom.com /admin/
CAPTCHA: muaanhshutterstock.com /login.php
CAPTCHA: myaccount.trademarkengine.com /admin/
CAPTCHA: mymseed.com /admin/
CAPTCHA: mynikevisit-ch.com /admin/login.php
CAPTCHA: mysafety.cn /login.php
CAPTCHA: mynikevisit-hr.com /admin/login.php
CAPTCHA: myzmanim.com /admin/
CAPTCHA: nalmadabooks.com /admin/
CAPTCHA: nb-mgt.com /admin/login.php
CAPTCHA: namemanagers.com /manage/
CAPTCHA: nblfcast.com /admin/login.php
CAPTCHA: nbnaheng.com /admin.php
CAPTCHA: nb-casting.com /login.php
CAPTCHA: ncnsfc.com /manage/
CAPTCHA: nazhi.com /login.php
CAPTCHA: neng-bo.com /admin/
CAPTCHA: nemojames.com /admin/
CAPTCHA: netshapetech.com.cn /manage/
CAPTCHA: newlinktech.com.cn /admin/
CAPTCHA: ngkwgw.com /admin/
CAPTCHA: ngsyglhh.com /admin/
CAPTCHA: niimoo.com /admin/login.php
CAPTCHA: njhdjt.com /admin.php
CAPTCHA: njfamilyvisionsource.com /admin/login.php
CAPTCHA: njspare.com /login.php
CAPTCHA: north-sun.com /manage/
CAPTCHA: nystartax.com /admin/
CAPTCHA: online-lamp.com /admin/login.php
CAPTCHA: obionvotes.com /login.php
CAPTCHA: online-sop.sunbiz.org /admin/
CAPTCHA: partners.fincra.com /admin/
CAPTCHA: patrickhoopes.com /admin/
CAPTCHA: payen.com /admin/
CAPTCHA: penthouse-celebs.net /admin/login.php
CAPTCHA: penthousemall.net /admin/login.php
CAPTCHA: penthousex.net /admin/login.php
CAPTCHA: phiyo.com /manage/
CAPTCHA: pillolequestri.com /admin/
CAPTCHA: pitt.myonplanu.com /admin/
CAPTCHA: pk777brbet.xyz /admin/
CAPTCHA: planexcargo.com /admin/
CAPTCHA: pyizqioh.s2.myxypt.com /login.php
CAPTCHA: publiufficio.com /login.php
CAPTCHA: qima.net /admin.php
CAPTCHA: qdjiefengda.com /manage/
CAPTCHA: qiair.net /admin/
CAPTCHA: qjjzjx.com /admin/
CAPTCHA: randomalex.net /admin/
CAPTCHA: ratansonline.com /admin/
CAPTCHA: redstarpharm.com /admin/
CAPTCHA: rediscussed.com /admin/
CAPTCHA: reetu.com.cn /admin/login.php
CAPTCHA: raiamark.com /login.php
CAPTCHA: regame.me /admin/
CAPTCHA: reehvac.net /admin/
CAPTCHA: regal-clock.com /admin/
CAPTCHA: regardingwork.com /admin/
CAPTCHA: research-proposals.iadb.org /admin/
CAPTCHA: retiringtomyrtlebeach.com /admin/
CAPTCHA: returnok.com /admin.php
CAPTCHA: riehome.com /admin/
CAPTCHA: rmueller.com /admin/
CAPTCHA: rizesukacagi.com /admin/
CAPTCHA: rutgers.myonplanu.com /admin/
CAPTCHA: rvsolarthatworks.com /admin/
CAPTCHA: rzm82faw.xypt.top /login.php
CAPTCHA: s2lx5y4c.s2.myxypt.com /login.php
CAPTCHA: sailwinlight.com /admin/
CAPTCHA: salip-industrial.com /admin/login.php
CAPTCHA: sawinklcd.com /admin/
CAPTCHA: scdfxct.com /admin/
CAPTCHA: seamou.com /admin/login.php
CAPTCHA: selfservice.scp-ks.org /admin/
CAPTCHA: sendaero.com /admin/
CAPTCHA: sequence.info /admin/
CAPTCHA: sfskyheart.com /admin/
CAPTCHA: shlasej.net /admin/
CAPTCHA: shshiqin.com /login.php
CAPTCHA: sjzwhcmxx.cn /admin/
CAPTCHA: sjbych.com /login.php
CAPTCHA: slowretail.com /admin/
CAPTCHA: solaceholding.com /admin/
CAPTCHA: sosyalinovasyondernegi.org /admin/
CAPTCHA: sosvietnam.org /admin/
CAPTCHA: spartaled.com /admin/login.php
CAPTCHA: special-alloy.net /admin/login.php
CAPTCHA: spikeproductions.com /admin/
CAPTCHA: spenglerindustries.com /admin/
CAPTCHA: sportquake.cn /login.php
CAPTCHA: ssjjka.com /admin/
CAPTCHA: staging.powerstep.com /admin/
CAPTCHA: starcollegeconsulting.com /admin/
CAPTCHA: stanford.myonplanu.com /admin/
CAPTCHA: startwhereur.org /admin/
CAPTCHA: static.siamsawadee.com /admin/
CAPTCHA: starsdorset.org /admin/
CAPTCHA: stopprop70.org /admin/
CAPTCHA: store.verdictsearch.com /admin/
CAPTCHA: stuffbyhannah.com /admin/
CAPTCHA: superspacer.com /admin/
CAPTCHA: sy-mt.com /manage/
CAPTCHA: sz-yunding.com /admin/
CAPTCHA: szbelitt.com /login.php
CAPTCHA: szparo.com /admin.php
CAPTCHA: sz-mt.com.cn /manage/
CAPTCHA: szshuanghang.com /manage/
CAPTCHA: szylwy.cn /login.php
CAPTCHA: tamu.myonplanu.com /admin/
CAPTCHA: tantramargroup.com /admin/
CAPTCHA: tb16888.com /manage/
CAPTCHA: tchqsl.com /admin/
CAPTCHA: tengda-industrial.com /admin.php
CAPTCHA: thechurchsrq.com /admin/
CAPTCHA: theaearl.com /manage/
CAPTCHA: theentrancegate.com /admin/login.php
CAPTCHA: thekanjozoku.com /admin/
CAPTCHA: themchenrydentist.com /admin/
CAPTCHA: themissionball.org /admin/
CAPTCHA: tiankangi.net /admin/
CAPTCHA: thinkovi.com /admin/
CAPTCHA: tianyuyun.com /manage/
CAPTCHA: tianminggroup.com /login.php
CAPTCHA: tlxjgd.com /admin/
CAPTCHA: tom-electronics.net /admin/login.php
CAPTCHA: tonynewport.com /admin/
CAPTCHA: toshasreviews.com /login.php
CAPTCHA: townandcountrygrooming.com /admin/
CAPTCHA: tsubaki.net.cn /admin/
CAPTCHA: travelingcubes.com /admin/
CAPTCHA: tube-8com.com /manage/
CAPTCHA: trustzonepost.xyz /login.php
CAPTCHA: tunbiya.com /admin/
CAPTCHA: udg-dental.com /admin/
CAPTCHA: ua.globessl.com /admin/
CAPTCHA: ul00.com /admin/
CAPTCHA: uvpunk.com /admin/
CAPTCHA: vahivb.com /admin/
CAPTCHA: va-leaders.com /admin/
CAPTCHA: verdictsearch.com /admin/
CAPTCHA: victoryhealthandfitness.org /admin/
CAPTCHA: virginia.myonplanu.com /admin/
CAPTCHA: tshoppeca.com /manage/
CAPTCHA: vupb7blt.s2.myxypt.com /login.php
CAPTCHA: watonhome.com /admin/login.php
CAPTCHA: way-of-the-phoenix.com /admin/
CAPTCHA: waypointports.com /admin/
CAPTCHA: webcast.varian.com.cn /manage/
CAPTCHA: wfm8dev.poloralphlauren.com /admin.php
CAPTCHA: wh-bx.com /admin/
CAPTCHA: whitebird.cn /admin/login.php
CAPTCHA: wfsdfs.com /admin.php
CAPTCHA: win345.xyz /admin/
CAPTCHA: whhqbz.com /admin/
CAPTCHA: whtmjt.com /login.php
CAPTCHA: worldschoolinghub.com /admin/
CAPTCHA: ws16er5w.com /admin/
CAPTCHA: wt6r1y5.com /admin/
CAPTCHA: wuhurf.com /admin/
CAPTCHA: wuhushangjie.com /admin/
CAPTCHA: wuxiyuxin.com /admin/login.php
CAPTCHA: www-ar.linksys.com /admin/
CAPTCHA: wuxidmk.com /admin.php
CAPTCHA: www-at.linksys.com /admin/
CAPTCHA: www-be.linksys.com /admin/
CAPTCHA: www-bh.linksys.com /admin/
CAPTCHA: www-br.linksys.com /admin/
CAPTCHA: www-bo.linksys.com /admin/
CAPTCHA: www-ca.linksys.com /admin/
CAPTCHA: www-ch.linksys.com /admin/
CAPTCHA: www-cn.linksys.com /admin/
CAPTCHA: www-cr.linksys.com /admin/
CAPTCHA: wunav.com /admin/
CAPTCHA: www-cs.linksys.com /admin/
CAPTCHA: www-co.linksys.com /admin/
CAPTCHA: www-cz.linksys.com /admin/
CAPTCHA: www-de.linksys.com /admin/
CAPTCHA: www.1ntv.org /login.php
CAPTCHA: www.ahgzzn.com /admin/
CAPTCHA: www.ahftby.cn /admin/
CAPTCHA: www.ahhuilic.com /admin/
CAPTCHA: www.ahshengcheng.com /admin/
CAPTCHA: www.ahxiyy.com /admin/
CAPTCHA: www.ahzr.com.cn /admin/
CAPTCHA: www.anhuilengqueta.com /admin/
CAPTCHA: www.arresha.com /admin/
CAPTCHA: www.archeroil.com /admin/
CAPTCHA: www.baonova.com /admin/
CAPTCHA: www.bbhlfz.com /admin/
CAPTCHA: www.axialsystem.com /login.php
CAPTCHA: www.belin.net.cn /manage/
CAPTCHA: www.bestonind.com /admin/
CAPTCHA: www.bbqbarbecuegrill.com /admin/
CAPTCHA: www.bellehairextensions.com /admin/
CAPTCHA: www.bonpret.com /admin/
CAPTCHA: www.bosolei.com /admin/
CAPTCHA: www.caminhodosmoinhos.com /admin/
CAPTCHA: www.cypruseconomicsociety.org /admin/
CAPTCHA: www.defendyourcase.com /admin/
CAPTCHA: www.evemento.me /admin/
CAPTCHA: www.etc4b.com /admin/
CAPTCHA: www.flortc.com /admin/login.php
CAPTCHA: www.forestcitybaseball.com /login.php
CAPTCHA: www.globessl.com /admin/
CAPTCHA: www.fillmorecountyfair.com /login.php
CAPTCHA: www.hyshjt.com /admin.php
CAPTCHA: www.js-supt.com /admin/
CAPTCHA: www.jslet.cn /admin/login.php
CAPTCHA: www.jointherivercoalition.org /admin/
CAPTCHA: www.jswfjs.com /admin.php
CAPTCHA: www.kimmi.com.cn /admin.php
CAPTCHA: www.leduo111.com /manage/
CAPTCHA: www.mariettaohio.org /admin/
CAPTCHA: www.mechanicsburgrestaurant.com /admin/
CAPTCHA: www.mingyangshijia.cn /admin/
CAPTCHA: www.mycollect.com /admin.php
CAPTCHA: www.moserbaerhomevideo.com /admin/
CAPTCHA: www.pinstructure.com /admin/
CAPTCHA: www.prideindustries.com /admin/
CAPTCHA: www.qxzjzx.com /admin/
CAPTCHA: www.rasi.com /admin/
CAPTCHA: www.publiufficio.com /login.php
CAPTCHA: www.ritmmo.com /admin/
CAPTCHA: www.santisstore.com /admin/
CAPTCHA: www.sfskyheart.com /admin/
CAPTCHA: www.siamsawadee.com /admin/
CAPTCHA: www.simtexmeta.com /admin/
CAPTCHA: www.spcc-roch.org /admin/
CAPTCHA: www.steki.cn /admin/
CAPTCHA: www.suitepro.com /admin/
CAPTCHA: www.staffino.com /admin/
CAPTCHA: www.superspacer.com /admin/
CAPTCHA: www.svetpasa.com /admin/
CAPTCHA: www.sybsolutions.com /admin/
CAPTCHA: www.szdelijun.com /admin/
CAPTCHA: www.tcslog.com /admin/
CAPTCHA: www.tcboydlife.anewrise.com /admin.php
CAPTCHA: www.tcomo.com /admin/login.php
CAPTCHA: www.targetbalances.com /admin/login.php
CAPTCHA: www.targetgiftcardbalances.com /admin/login.php
CAPTCHA: www.teachingpersonnel.org /admin/login.php
CAPTCHA: www.thailandconveyancers.com /admin/
CAPTCHA: www.thefuturecoins.com /admin/
CAPTCHA: www.theinvisiblecollege.com /admin/
CAPTCHA: www.theheartofdallasbowl.techdays2010.com /admin/login.php
CAPTCHA: www.themeforest.net /admin/
CAPTCHA: www.theentrancegate.com /admin/login.php
CAPTCHA: www.townandcountrygrooming.com /admin/
CAPTCHA: www.tripamazon.com /admin/login.php
CAPTCHA: www.trophymakers.com /admin/
CAPTCHA: www.turquoisefeather.com /admin/login.php
CAPTCHA: www.turnone.com /manage/
CAPTCHA: www.udora.net /admin/login.php
CAPTCHA: www.uvpunk.com /admin/
CAPTCHA: www.ued885.com /login.php
CAPTCHA: www.ventodisardegna.com /admin/
CAPTCHA: www.va-leaders.com /admin/
CAPTCHA: www.verdictsearch.com /admin/
CAPTCHA: www.ugandagigs.com /admin/
CAPTCHA: www.unilet.net /admin/
CAPTCHA: www.waterfordhistoricalsociety.com /admin/
CAPTCHA: www.writeupcafe.com /admin/
CAPTCHA: www.wfmedical.com /admin/login.php
CAPTCHA: www.xinxinjj.com /admin/
CAPTCHA: www.xinyuan-valve.com /admin.php
CAPTCHA: www.waypointports.com /admin/
CAPTCHA: www.xmgreatrise-matcha.com /admin/
CAPTCHA: www.zjszwt.com /admin/
CAPTCHA: www.ytukampus.com /admin/
CAPTCHA: www.zmzkfm.cn /admin/
CAPTCHA: www.zivarclub.com /admin/
CAPTCHA: wzg.net.cn /admin/
CAPTCHA: wzdnsy.com /admin.php
CAPTCHA: xa7mbtto.s5.myxypt.com /admin/login.php
CAPTCHA: wxbokang.com /admin.php
CAPTCHA: xinxinjj.com /admin/
CAPTCHA: xlgh.com /admin.php
CAPTCHA: xmgreatrise-matcha.com /admin/
CAPTCHA: xn--vcsa105akgt91ivr2a3frs4f77b.com /admin/
CAPTCHA: xintewei.com /manage/
CAPTCHA: xnewtech.com /admin/
CAPTCHA: xianxiapifu.com /admin/
CAPTCHA: xinyijianshe.com /admin/
CAPTCHA: xr-elec.com /admin.php
CAPTCHA: y5591.com /admin/
CAPTCHA: y5592.com /admin/
CAPTCHA: xybwg.com.cn /admin/
CAPTCHA: yidianjf.com /admin/
CAPTCHA: yk64.com /manage/
CAPTCHA: yj-bf.com /admin/
CAPTCHA: ylqz.cn /admin/
CAPTCHA: yoocubi.com /admin.php
CAPTCHA: ytzjzx.com /admin/
CAPTCHA: yusheng-sh.net /admin/
CAPTCHA: yzhongbo.com /admin/login.php
CAPTCHA: yzmaode.com /admin/login.php
CAPTCHA: youjingchemical.com /manage/
CAPTCHA: zachlandua.com /admin/
CAPTCHA: zbllj.com /admin/
CAPTCHA: zagroup.net /manage/
CAPTCHA: zephyrhive.com /admin/login.php
CAPTCHA: zeaben.com /admin.php
CAPTCHA: zjszwt.com /admin/
CAPTCHA: zonebeat.com /admin/
CAPTCHA: zjzlept.com /admin.php
CAPTCHA: zrediode.com /admin/login.php
CAPTCHA: zoolar.com /admin.php
CAPTCHA: zsbg888.com /admin/
CAPTCHA: zqwsnzbz.backstagefix.com /admin.php
CAPTCHA: zzyxyf.com /admin.php
=== 559 captcha backends ===
