[PORTS] 119.gov.cn(156.238.128.7) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] aigei.com(139.129.112.11) | 80(HTTP),443(HTTPS)
[PORTS] aigtek.com(39.97.185.236) | 80(HTTP),443(HTTPS),8888(BT)
[PORTS] ailete.com(39.105.215.203) | 80(HTTP),443(HTTPS)
[PORTS] aimgrind.cn(112.126.92.167) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] aiqicha.baidu.com(112.34.111.96) | 80(HTTP),443(HTTPS)
[PORTS] alekvs.com(104.21.74.225) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] alu.ccmn.cn(150.158.110.192) | 80(HTTP),443(HTTPS)
[PORTS] amexpressnetwork.com(203.107.60.192) | 80(HTTP)
[PORTS] 119.gov.cn(156.238.128.6) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 1566.cn(122.114.92.199) | 80(HTTP),443(HTTPS)
[PORTS] anzerclub.com(210.16.188.131) | 21(FTP),80(HTTP),3306(MySQL),8888(BT)
[PORTS] aoerys.cn.china.cn(106.63.29.107) | 80(HTTP),443(HTTPS)
[PORTS] aokechina.cn(103.45.248.151) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] 163.com(59.111.160.244) | 80(HTTP),443(HTTPS)
[PORTS] aotozy.com(121.196.209.238) | 80(HTTP),443(HTTPS)
[PORTS] 164580.com(118.178.131.70) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] api.pacdora.cn(47.97.49.22) | 80(HTTP),443(HTTPS)
[PORTS] 1688.com(140.205.174.2) | 80(HTTP),443(HTTPS)
[PORTS] 1textile.com(127.0.0.1) | 22(SSH),3306(MySQL),8888(BT)
[PORTS] 21food.cn(115.239.209.158) | 80(HTTP),443(HTTPS)
[PORTS] app.mail.163.com(103.129.252.49) | 80(HTTP),443(HTTPS)
[PORTS] as-cn.airtac.com(47.56.203.226) | 80(HTTP),443(HTTPS)
[PORTS] 2d1a542c1e340653.com(43.240.28.161) | 80(HTTP),443(HTTPS)
[PORTS] ask.csdn.net(103.41.2.7) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 35dianlan.com(106.75.146.168) | 80(HTTP),443(HTTPS)
[PORTS] atlascopco.com.cn(42.236.124.70) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 39.net(153.43.128.22) | 80(HTTP),443(HTTPS),3306(MySQL),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] autohome.com.cn(116.181.15.207) | 80(HTTP),443(HTTPS)
[PORTS] 3treesgroup.com(47.112.118.118) | 80(HTTP),443(HTTPS)
[PORTS] 58pic.com(47.104.150.167) | 80(HTTP),443(HTTPS)
[PORTS] 699pic.com(101.132.88.233) | 80(HTTP),443(HTTPS)
[PORTS] b2b.11467.com(183.36.30.80) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] 6b3b.com(121.10.141.241) | 80(HTTP),443(HTTPS)
[PORTS] b2b.baidu.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] 6fm4dcpj31.com(47.76.29.138) | 22(SSH),80(HTTP)
[PORTS] b2b.huangye88.com(115.190.181.30) | 80(HTTP),443(HTTPS)
[PORTS] 8fe.com(122.10.48.67) | 80(HTTP)
[PORTS] b2bwiki.aipage.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] a.nongjitong.com(139.129.112.135) | 80(HTTP),443(HTTPS)
[PORTS] acing.com(1.14.148.140) | 22(SSH),80(HTTP)
[PORTS] acinstruments.com(114.215.67.21) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] baihuituliao.com(211.149.229.251) | 80(HTTP),443(HTTPS)
[PORTS] adanxing.com(175.25.16.140) | 80(HTTP),443(HTTPS)
[PORTS] baiinfo.com(117.122.241.232) | 80(HTTP),443(HTTPS)
[PORTS] adidas.com.cn(101.227.22.181) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] ag.yueniuzq.com(59.110.190.218) | 80(HTTP),443(HTTPS)
[PORTS] 119.gov.cn(156.238.128.64) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 1566.cn(122.114.92.199) | 80(HTTP),443(HTTPS)
[PORTS] baijiahao.baidu.com(223.109.81.200) | 80(HTTP),443(HTTPS)
[PORTS] agents.baidu.com(112.34.111.127) | 80(HTTP),443(HTTPS)
[PORTS] 163.com(59.111.160.244) | 80(HTTP),443(HTTPS)
[PORTS] 164580.com(118.178.131.70) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] baike.baidu.com(180.76.11.185) | 80(HTTP),443(HTTPS)
[PORTS] baike.shuidi.cn(81.69.250.26) | 80(HTTP),443(HTTPS)
[PORTS] 1688.com(140.205.174.2) | 80(HTTP),443(HTTPS)
[PORTS] aigei.com(139.129.112.11) | 80(HTTP),443(HTTPS)
[PORTS] aigtek.com(39.97.185.236) | 80(HTTP),443(HTTPS),8888(BT)
[PORTS] 1textile.com(127.0.0.1) | 22(SSH),3306(MySQL),8888(BT)
[PORTS] bank-139.com(47.96.67.76) | 80(HTTP),443(HTTPS)
[PORTS] 21food.cn(115.239.209.158) | 80(HTTP),443(HTTPS)
[PORTS] banksteel.com(153.43.128.42) | 80(HTTP),443(HTTPS),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] ailete.com(39.105.215.203) | 80(HTTP),443(HTTPS)
[PORTS] 2d1a542c1e340653.com(43.225.44.66) | 80(HTTP),443(HTTPS)
[PORTS] 35dianlan.com(106.75.146.168) | 80(HTTP),443(HTTPS)
[PORTS] aimgrind.cn(112.126.92.167) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] 39.net(153.43.128.22) | 80(HTTP),443(HTTPS),3306(MySQL),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] baojia.steelcn.cn(39.105.172.174) | 80(HTTP)
[PORTS] aiqicha.baidu.com(112.34.111.96) | 80(HTTP),443(HTTPS)
[PORTS] 3treesgroup.com(47.112.118.118) | 80(HTTP),443(HTTPS)
[PORTS] alekvs.com(172.67.164.13) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 58pic.com(47.105.82.47) | 80(HTTP),443(HTTPS)
[PORTS] alu.ccmn.cn(150.158.110.192) | 80(HTTP),443(HTTPS)
[PORTS] 699pic.com(101.132.88.235) | 80(HTTP),443(HTTPS)
[PORTS] amexpressnetwork.com(203.107.60.192) | 80(HTTP)
[PORTS] baoxiaohe.com(120.27.209.144) | 80(HTTP),443(HTTPS)
[PORTS] 6b3b.com(121.10.141.241) | 80(HTTP),443(HTTPS)
[PORTS] 6fm4dcpj31.com(47.76.29.138) | 22(SSH),80(HTTP)
[PORTS] 8fe.com(122.10.48.67) | 80(HTTP)
[PORTS] bbs.12365auto.com(203.107.46.96) | 80(HTTP),443(HTTPS)
[PORTS] bd682bc7d22322eb.com(104.218.235.179) | 80(HTTP),443(HTTPS),8443(HTTPS8443)
[PORTS] a.nongjitong.com(139.129.112.135) | 80(HTTP),443(HTTPS)
[PORTS] beidoou.com(207.148.6.209) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] acing.com(1.14.148.140) | 22(SSH),80(HTTP)
[PORTS] acinstruments.com(114.215.67.21) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] adanxing.com(175.25.16.140) | 80(HTTP),443(HTTPS)
[PORTS] beidouchong.com(47.107.34.144) | 80(HTTP)
[PORTS] adidas.com.cn(101.227.22.167) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] anzerclub.com(210.16.188.131) | 21(FTP),80(HTTP),3306(MySQL),8888(BT)
[PORTS] beijingxiantour.com(167.88.176.227) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] ag.yueniuzq.com(59.110.190.218) | 80(HTTP),443(HTTPS)
[PORTS] big5.www.gov.cn(156.238.128.29) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] aoerys.cn.china.cn(106.63.29.107) | 80(HTTP),443(HTTPS)
[PORTS] bilibili.com(119.3.70.188) | 80(HTTP),443(HTTPS)
[PORTS] agents.baidu.com(180.101.50.24) | 443(HTTPS)
[PORTS] aokechina.cn(103.45.248.151) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] bing.com(150.171.27.10) | 80(HTTP),443(HTTPS)
[PORTS] bj-zkhb.com(39.107.75.80) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] aotozy.com(121.196.209.238) | 80(HTTP),443(HTTPS)
[PORTS] bjlacc.com(123.56.255.227) | 22(SSH)
[PORTS] api.pacdora.cn(47.97.49.22) | 80(HTTP),443(HTTPS)
[PORTS] aigei.com(139.129.112.11) | 80(HTTP),443(HTTPS)
[PORTS] bjyaneng.com(120.48.21.80) | 80(HTTP),443(HTTPS)
[PORTS] aigtek.com(39.97.185.236) | 80(HTTP),443(HTTPS),8888(BT)
[PORTS] bk.taobao.com(155.102.4.16) | 80(HTTP),443(HTTPS)
[PORTS] ailete.com(39.105.215.203) | 80(HTTP),443(HTTPS)
[PORTS] blog.51cto.com(114.230.198.92) | 80(HTTP),443(HTTPS),6379(Redis),8080(HTTP8080),8443(HTTPS8443)
[PORTS] app.mail.163.com(103.129.252.49) | 80(HTTP),443(HTTPS)
[PORTS] aimgrind.cn(112.126.92.167) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] blog.csdn.net(103.41.2.14) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] as-cn.airtac.com(47.56.203.226) | 80(HTTP),443(HTTPS)
[PORTS] ask.csdn.net(103.41.2.16) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] blpumps.cn(139.224.238.75) | 21(FTP),22(SSH),80(HTTP),443(HTTPS),3306(MySQL)
[PORTS] aiqicha.baidu.com(112.34.111.96) | 80(HTTP),443(HTTPS)
[PORTS] atlascopco.com.cn(42.236.124.70) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] alekvs.com(104.21.74.225) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] bohaitrust.com(118.244.236.7) | 80(HTTP),443(HTTPS)
[PORTS] autohome.com.cn(116.181.15.207) | 80(HTTP),443(HTTPS)
[PORTS] alu.ccmn.cn(150.158.110.192) | 80(HTTP),443(HTTPS)
[PORTS] bomco.cnpc.com.cn(116.211.128.190) | 80(HTTP),443(HTTPS),3306(MySQL),6379(Redis),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] amexpressnetwork.com(203.107.60.192) | 80(HTTP)
[PORTS] anzerclub.com(210.16.188.131) | 21(FTP),80(HTTP),3306(MySQL)
[PORTS] bominelec.com(39.108.163.62) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] boquanpump.com(60.205.6.173) | 21(FTP),80(HTTP)
[PORTS] aoerys.cn.china.cn(106.63.29.107) | 80(HTTP),443(HTTPS)
[PORTS] aokechina.cn(103.45.248.151) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] boschrexroth.com.cn(58.210.106.232) | 80(HTTP),443(HTTPS)
[PORTS] aotozy.com(121.196.209.238) | 80(HTTP),443(HTTPS)
[PORTS] boxon.cn(116.153.4.140) | 80(HTTP),443(HTTPS),8080(HTTP8080)
[PORTS] api.pacdora.cn(120.27.209.144) | 80(HTTP),443(HTTPS)
[PORTS] b2b.11467.com(183.36.30.80) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] bra-cdche.com(8.149.128.60) | 22(SSH),80(HTTP)
[PORTS] app.mail.163.com(103.129.252.49) | 80(HTTP),443(HTTPS)
[PORTS] b2b.baidu.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] bricsgo.com(47.104.13.165) | 22(SSH),80(HTTP),443(HTTPS),3306(MySQL),6379(Redis)
[PORTS] as-cn.airtac.com(47.56.203.226) | 80(HTTP),443(HTTPS)
[PORTS] b2b.huangye88.com(115.190.181.30) | 80(HTTP),443(HTTPS)
[PORTS] ask.csdn.net(220.185.184.55) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] b2bwiki.aipage.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] atlascopco.com.cn(42.236.124.70) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] autohome.com.cn(124.250.78.6) | 80(HTTP),443(HTTPS)
[PORTS] baiao.com(58.30.207.159) | 80(HTTP),443(HTTPS)
[PORTS] bxpackaging.com(119.3.1.68) | 80(HTTP),443(HTTPS),3306(MySQL),3389(RDP)
[PORTS] baihuituliao.com(211.149.229.251) | 80(HTTP),443(HTTPS)
[PORTS] baiinfo.com(117.122.241.232) | 80(HTTP),443(HTTPS)
[PORTS] bzrqfd.com(171.214.16.13) | 80(HTTP),443(HTTPS)
[PORTS] caamm.org.cn(114.255.9.59) | 21(FTP),80(HTTP)
[PORTS] baijiahao.baidu.com(182.61.200.130) | 80(HTTP),443(HTTPS)
[PORTS] baike.baidu.com(180.76.11.185) | 80(HTTP),443(HTTPS)
[PORTS] baike.shuidi.cn(81.69.250.26) | 80(HTTP),443(HTTPS)
[PORTS] b2b.11467.com(183.36.30.80) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] caoxianfc.com(101.43.211.68) | 21(FTP),80(HTTP),443(HTTPS),3306(MySQL),3389(RDP),8888(BT)
[PORTS] bank-139.com(47.96.67.76) | 80(HTTP),443(HTTPS)
[PORTS] banksteel.com(153.43.128.35) | 80(HTTP),443(HTTPS),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] b2b.baidu.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] car.autohome.com.cn(36.250.226.35) | 80(HTTP),443(HTTPS)
[PORTS] b2b.huangye88.com(115.190.181.30) | 80(HTTP),443(HTTPS)
[PORTS] cas.cn(159.226.242.61) | 80(HTTP),443(HTTPS)
[PORTS] baojia.steelcn.cn(39.105.172.174) | 80(HTTP)
[PORTS] b2bwiki.aipage.com(182.61.200.188) | 80(HTTP),443(HTTPS)
[PORTS] catugbio.com(155.102.181.141) | 80(HTTP),443(HTTPS)
[PORTS] ccf.com.cn(115.239.209.174) | 80(HTTP),443(HTTPS)
[PORTS] baiao.com(111.62.97.162) | 80(HTTP),443(HTTPS)
[PORTS] ccmn.cn(150.158.110.192) | 80(HTTP),443(HTTPS)
[PORTS] baihuituliao.com(211.149.229.251) | 80(HTTP),443(HTTPS)
[PORTS] cctv.com(39.107.241.57) | 80(HTTP),443(HTTPS)
[PORTS] baiinfo.com(117.122.241.232) | 80(HTTP),443(HTTPS)
[PORTS] 119.gov.cn(156.238.128.31) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 1566.cn(122.114.92.199) | 80(HTTP),443(HTTPS)
[PORTS] 163.com(59.111.160.244) | 80(HTTP),443(HTTPS)
[PORTS] 164580.com(118.178.131.70) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] baijiahao.baidu.com(220.181.107.189) | 80(HTTP),443(HTTPS)
[PORTS] 1688.com(140.205.174.2) | 80(HTTP),443(HTTPS)
[PORTS] ccxgf.com.cn(123.57.7.97) | 21(FTP),80(HTTP)
[PORTS] baike.baidu.com(180.76.11.185) | 80(HTTP),443(HTTPS)
[PORTS] 1textile.com(127.0.0.1) | 22(SSH),3306(MySQL),8888(BT)
[PORTS] 21food.cn(115.239.209.158) | 80(HTTP),443(HTTPS)
[PORTS] baike.shuidi.cn(81.69.250.26) | 80(HTTP),443(HTTPS)
[PORTS] cdgdssj.cn.china.cn(106.63.29.107) | 80(HTTP),443(HTTPS)
[PORTS] cdmia.com.cn(103.53.211.176) | 80(HTTP),3389(RDP),8080(HTTP8080)
[PORTS] bank-139.com(47.96.67.76) | 80(HTTP),443(HTTPS)
[PORTS] banksteel.com(153.43.128.42) | 80(HTTP),443(HTTPS),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] 2d1a542c1e340653.com(43.225.44.189) | 80(HTTP),443(HTTPS)
[LEAK] cdmia.com.cn/.env 6180B KW:password
[LEAK] cdmia.com.cn/.git/config 6180B KW:password
[LEAK] cdmia.com.cn/web.config 6180B KW:password
[LEAK] cdmia.com.cn/config.php.bak 6180B KW:password
[LEAK] cdmia.com.cn/db.sql 6180B KW:password
[LEAK] cdmia.com.cn/.svn/entries 6180B KW:password
[LEAK] cdmia.com.cn/phpinfo.php 6180B KW:password
[LEAK] cdmia.com.cn/info.php 6180B KW:password
[PORTS] 35dianlan.com(106.75.146.168) | 80(HTTP),443(HTTPS)
[PORTS] cebpubservice.com(203.107.60.192) | 80(HTTP)
[PORTS] baojia.steelcn.cn(39.105.172.174) | 80(HTTP)
[PORTS] 39.net(157.185.135.194) | 80(HTTP),443(HTTPS),3306(MySQL),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] cec.com.cn(203.107.45.167) | 80(HTTP)
[PORTS] 3treesgroup.com(47.112.118.118) | 80(HTTP),443(HTTPS)
[PORTS] cec.zju.edu.cn(210.32.2.5) | 80(HTTP),443(HTTPS)
[PORTS] 58pic.com(47.104.150.167) | 80(HTTP),443(HTTPS)
[PORTS] cee-group.cn(121.237.183.209) | 80(HTTP),443(HTTPS)
[PORTS] 699pic.com(101.132.88.235) | 80(HTTP),443(HTTPS)
[PORTS] cenews.com.cn(1.194.194.83) | 80(HTTP),443(HTTPS),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] baoxiaohe.com(120.27.209.144) | 80(HTTP),443(HTTPS)
[PORTS] cepn.cn(61.136.101.88) | 21(FTP),22(SSH),80(HTTP),3306(MySQL),8443(HTTPS8443)
[PORTS] 6b3b.com(121.10.141.241) | 80(HTTP),443(HTTPS)
[PORTS] ceshi100.com(219.153.159.161) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 6fm4dcpj31.com(47.76.29.138) | 22(SSH),80(HTTP)
[PORTS] cfnews.com.cn(47.105.202.116) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] bbs.12365auto.com(203.107.46.96) | 80(HTTP),443(HTTPS)
[PORTS] 8fe.com(122.10.48.67) | 80(HTTP)
[PORTS] bd682bc7d22322eb.com(222.167.33.62) | 80(HTTP),443(HTTPS),8443(HTTPS8443)
[PORTS] beidoou.com(207.148.6.209) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] a.nongjitong.com(139.129.112.135) | 80(HTTP),443(HTTPS)
[PORTS] acing.com(1.14.148.140) | 22(SSH),80(HTTP)
[PORTS] acinstruments.com(114.215.67.21) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] cfsn.cn(39.106.38.188) | 80(HTTP),443(HTTPS)
[PORTS] beidouchong.com(47.107.34.144) | 80(HTTP)
[PORTS] adanxing.com(175.25.16.140) | 80(HTTP),443(HTTPS)
[PORTS] beijingxiantour.com(167.88.176.227) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] chabeichong.com(121.41.224.83) | 80(HTTP)
[PORTS] adidas.com.cn(101.227.22.167) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] chagushici.com(104.224.152.6) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] big5.www.gov.cn(156.238.128.10) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] chaoshi.banksteel.com(153.43.128.42) | 80(HTTP),443(HTTPS),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] ag.yueniuzq.com(59.110.190.218) | 80(HTTP),443(HTTPS)
[PORTS] bilibili.com(47.103.24.173) | 80(HTTP),443(HTTPS)
[PORTS] chazidian.com(203.107.60.192) | 80(HTTP)
[PORTS] agents.baidu.com(157.148.69.132) | 80(HTTP),443(HTTPS)
[PORTS] bing.com(150.171.28.10) | 80(HTTP),443(HTTPS)
[PORTS] bj-zkhb.com(39.107.75.80) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] bjlacc.com(123.56.255.227) | 22(SSH)
[PORTS] bjyaneng.com(120.48.21.80) | 80(HTTP),443(HTTPS)
[PORTS] chem.jgvogel.cn(155.102.180.234) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] chem17.com(101.71.9.131) | 80(HTTP),443(HTTPS)
[PORTS] 119.gov.cn(156.238.128.3) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] 1566.cn(122.114.92.199) | 80(HTTP),443(HTTPS)
[PORTS] aigei.com(139.129.112.11) | 80(HTTP),443(HTTPS)
[PORTS] aigtek.com(39.97.185.236) | 80(HTTP),443(HTTPS),8888(BT)
[PORTS] chembk.com(60.205.2.74) | 443(HTTPS)
[PORTS] 163.com(59.111.160.244) | 80(HTTP),443(HTTPS)
[PORTS] chemicalbook.com(103.213.246.99) | 80(HTTP),443(HTTPS)
[PORTS] ailete.com(39.105.215.203) | 80(HTTP),443(HTTPS)
[PORTS] chenhr.com(118.144.89.202) | 80(HTTP),443(HTTPS)
[PORTS] 164580.com(118.178.131.70) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
[PORTS] aimgrind.cn(112.126.92.167) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] 1688.com(140.205.174.2) | 80(HTTP),443(HTTPS)
[PORTS] china-casting.com(191.101.228.11) | 80(HTTP),443(HTTPS)
[PORTS] 1textile.com(127.0.0.1) | 22(SSH),3306(MySQL),8888(BT)
[PORTS] 21food.cn(115.239.209.158) | 80(HTTP),443(HTTPS)
[PORTS] aiqicha.baidu.com(112.34.111.96) | 80(HTTP),443(HTTPS)
[PORTS] alekvs.com(172.67.164.13) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] china.chemnet.com(222.73.8.48) | 80(HTTP),443(HTTPS)
[PORTS] 2d1a542c1e340653.com(43.240.28.163) | 80(HTTP),443(HTTPS)
[PORTS] china.guidechem.com(115.239.209.239) | 80(HTTP),443(HTTPS)
[PORTS] alu.ccmn.cn(150.158.110.192) | 80(HTTP),443(HTTPS)
[PORTS] 35dianlan.com(106.75.146.168) | 80(HTTP),443(HTTPS)
[PORTS] china0001.com.cn(120.79.84.216) | 80(HTTP),443(HTTPS)
[PORTS] 39.net(153.43.128.22) | 80(HTTP),443(HTTPS),3306(MySQL),8080(HTTP8080),8888(BT),8443(HTTPS8443)
[PORTS] amexpressnetwork.com(203.107.60.192) | 80(HTTP)
[PORTS] anzerclub.com(210.16.188.131) | 21(FTP),80(HTTP),3306(MySQL),8888(BT)
[PORTS] 3treesgroup.com(47.112.118.118) | 80(HTTP),443(HTTPS)
[PORTS] chinabianjiao.com(203.107.45.167) | 80(HTTP)
[PORTS] aoerys.cn.china.cn(106.63.29.107) | 80(HTTP),443(HTTPS)
[PORTS] 58pic.com(47.104.150.167) | 80(HTTP),443(HTTPS)
[PORTS] aokechina.cn(103.45.248.151) | 21(FTP),80(HTTP),443(HTTPS)
[PORTS] chinacable.com(117.50.158.75) | 21(FTP),22(SSH),80(HTTP),443(HTTPS),3306(MySQL),8888(BT)
[PORTS] chinapowerbi.com(39.98.153.119) | 21(FTP),80(HTTP),443(HTTPS),3306(MySQL),3389(RDP)
[PORTS] 699pic.com(101.132.88.233) | 80(HTTP),443(HTTPS)
[PORTS] aotozy.com(121.196.209.238) | 80(HTTP),443(HTTPS)
[PORTS] chinapp.com(39.98.222.99) | 80(HTTP),443(HTTPS),8080(HTTP8080)
[PORTS] 6b3b.com(121.10.141.241) | 80(HTTP),443(HTTPS)
[PORTS] api.pacdora.cn(120.27.209.144) | 80(HTTP),443(HTTPS)
[PORTS] 6fm4dcpj31.com(47.76.29.138) | 22(SSH),80(HTTP)
[PORTS] chinazczcz.com(47.116.165.163) | 22(SSH),80(HTTP)
[PORTS] chn.ws-foundry.com(128.1.164.152) | 80(HTTP),443(HTTPS)
[PORTS] 8fe.com(122.10.48.67) | 80(HTTP)
[PORTS] app.mail.163.com(103.129.252.49) | 80(HTTP),443(HTTPS)
[PORTS] chnmuseum.cn(203.107.45.167) | 80(HTTP)
[PORTS] a.nongjitong.com(139.129.112.135) | 80(HTTP),443(HTTPS)
[PORTS] as-cn.airtac.com(47.56.203.226) | 80(HTTP),443(HTTPS)
[PORTS] acing.com(1.14.148.140) | 22(SSH),80(HTTP)
[PORTS] ask.csdn.net(220.185.184.55) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] acinstruments.com(114.215.67.21) | 22(SSH),80(HTTP),443(HTTPS)
[PORTS] atlascopco.com.cn(42.236.124.70) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] chtq.cn(16.163.201.39) | 80(HTTP),443(HTTPS)
[PORTS] autohome.com.cn(124.250.78.6) | 80(HTTP),443(HTTPS)
[PORTS] adanxing.com(175.25.16.140) | 80(HTTP),443(HTTPS)
[PORTS] chuananxiaofang.com(39.106.92.126) | 21(FTP),80(HTTP),443(HTTPS),8080(HTTP8080)
[PORTS] adidas.com.cn(101.227.22.167) | 80(HTTP),443(HTTPS),8080(HTTP8080),8443(HTTPS8443)
[PORTS] chuangongsi.com(169.63.229.130) | 21(FTP),22(SSH),80(HTTP),443(HTTPS)
